x,y,width_px
338,211,7.0710678118654755
244,212,7.280109889280518
253,212,4.242640687119285
294,212,2.8284271247461903
298,212,2.8284271247461903
339,212,8.48528137423857
340,212,8.48528137423857
244,213,15.0
253,213,4.47213595499958
295,213,4.47213595499958
296,213,4.123105625617661
297,213,4.47213595499958
341,213,7.211102550927978
416,213,4.47213595499958
244,214,12.206555615733702
248,214,7.0710678118654755
249,214,5.0990195135927845
250,214,5.385164807134504
251,214,4.47213595499958
252,214,4.47213595499958
342,214,6.324555320336759
343,214,5.385164807134504
344,214,5.0990195135927845
345,214,5.385164807134504
346,214,5.385164807134504
416,214,13.92838827718412
244,215,10.0
245,215,12.36931687685298
246,215,10.0
247,215,8.0
347,215,5.656854249492381
415,215,7.280109889280518
236,216,5.0990195135927845
237,216,5.0
238,216,6.0
239,216,6.0
242,216,8.94427190999916
243,216,8.602325267042627
348,216,7.0710678118654755
414,216,5.830951894845301
415,216,7.280109889280518
416,216,7.810249675906654
417,216,12.041594578792296
218,217,5.0
219,217,5.0
234,217,6.324555320336759
235,217,6.324555320336759
240,217,6.0
241,217,6.324555320336759
348,217,6.4031242374328485
413,217,5.656854249492381
418,217,5.656854249492381
215,218,4.47213595499958
216,218,4.47213595499958
217,218,5.0990195135927845
220,218,5.385164807134504
221,218,4.47213595499958
232,218,6.324555320336759
233,218,7.280109889280518
349,218,6.4031242374328485
411,218,5.0
412,218,5.0
418,218,5.656854249492381
214,219,5.656854249492381
222,219,6.324555320336759
223,219,6.324555320336759
224,219,6.0
225,219,6.0
226,219,6.0
227,219,6.0
228,219,6.0
229,219,6.324555320336759
230,219,6.324555320336759
231,219,6.324555320336759
350,219,7.211102550927978
410,219,5.385164807134504
419,219,5.656854249492381
213,220,5.656854249492381
350,220,7.211102550927978
391,220,2.0
404,220,4.47213595499958
405,220,4.47213595499958
406,220,4.0
407,220,4.0
408,220,4.47213595499958
409,220,4.47213595499958
420,220,5.656854249492381
212,221,5.656854249492381
351,221,15.0
352,221,10.0
353,221,6.0
354,221,6.0
355,221,5.0990195135927845
356,221,7.0710678118654755
391,221,8.0
403,221,4.47213595499958
421,221,5.656854249492381
422,221,7.0710678118654755
437,221,5.385164807134504
438,221,5.0
439,221,5.385164807134504
211,222,4.242640687119285
350,222,6.708203932499369
357,222,7.280109889280518
358,222,7.615773105863909
359,222,8.602325267042627
391,222,8.0
402,222,3.605551275463989
423,222,5.656854249492381
436,222,7.211102550927978
440,222,3.605551275463989
210,223,5.0
350,223,8.48528137423857
360,223,6.4031242374328485
391,223,8.0
398,223,6.324555320336759
399,223,5.385164807134504
400,223,5.385164807134504
401,223,5.385164807134504
423,223,5.656854249492381
435,223,5.830951894845301
441,223,3.605551275463989
208,224,7.0710678118654755
209,224,7.0710678118654755
349,224,4.242640687119285
361,224,5.656854249492381
373,224,6.324555320336759
374,224,6.324555320336759
375,224,6.0
376,224,6.0
377,224,6.0
378,224,6.0
379,224,6.0
380,224,6.0
381,224,6.0
382,224,6.0
383,224,6.0
384,224,6.0
385,224,6.0
386,224,6.0
387,224,6.0
388,224,6.324555320336759
389,224,6.324555320336759
390,224,6.324555320336759
391,224,8.0
392,224,7.211102550927978
393,224,7.211102550927978
